0,"{'mouse': ['Cheap', 'excellent', 'wired'], 'duty': ['heavy'], 'unit': ['wireless', 'basic', 'good', '2'], 'gamers': ['alike'], 'mice': ['better', 'most', 'other'], 'size': ['full'], 'design': ['size', 'ergonomic'], 'buttons': ['back', 'Precise', 'locating', 'Extra'], 'connectivity': ['battery'], 'times': ['random'], 'quality': ['palm', 'nice'], 'port': ['available'], 'hands': ['small'], 'laptops': ['two', 'different', 'branded', 'two', 'newer'], 'systems': ['Microsoft', 'Apple'], 'laptop': ['old']}"
1,"{'pages': ['4', '500'], 'excuse': ['lame'], 'product': ['5'], 'mate': ['black'], 'ink': ['copier', 'original', 'generic', 'Brother'], 'cartridge': ['yellow', 'automatic'], 'pack': ['multi', '-', 'color'], 'set': ['black'], 'creature': ['such'], 'degrees': ['varying'], 'point': ['major'], 'discount': ['even'], 'price': ['reduced', 'great'], 'category': ['important'], 'cleaning': ['daily', 'automatic'], 'item': ['wrong', '3'], 'printers': ['few'], 'yellow': ['LC61', 'black', 'cyan'], 'cartridges': ['individual', 'four', 'genuine', '3'], 'needs': ['only', 'medium'], 'medium': ['small'], 'procedures': ['multiple'], 'weeks': ['3'], 'buying': ['Recommend'], 'one': ['first'], 'month': ['one'], 'cents': ['two']}"
2,"{'work': ['real', 'out'], 'amount': ['large'], 'couple': ['a'], 'batches': ['couple'], 'things': ['nice'], 'pea': ['green'], 'flour': ['pea', 'finest', 'enough', 'fine', 'whole', 'fine'], 'minutes': ['few', '20'], 'veggies': ['leftover'], 'meal': ['instant'], 'mills': ['several'], 'surface': ['sturdy'], 'loafs': ['two'], 'kit': ['electronic'], 'motor': ['electric', 'small', 'old', 'suggested'], 'impact': ['electronic'], 'product': ['Great'], 'category': ['buy', 'nice'], 'quality': ['Excellent', 'great'], 'storage': ['preparedness'], 'term': ['long'], 'preps': ['important', 'material'], 'duty': ['heavy'], 'grind': ['finer', 'fine', 'enough'], 'bread': ['heavy', 'delicious'], 'wheat': ['much', 'remaining', 'hard', 'hard', 'hard'], 'company': ['American'], 'times': ['few', 'less'], 'mill': ['good'], 'workout': ['good'], 'calories': ['few'], 'bike': ['old'], 'tries': ['first'], 'person': ['one'], 'auger': ['large', 'easy'], 'complaint': ['1'], 'chute': ['small', 'angled', 'temporary'], 'cardboard': ['light'], 'year': ['a', '8', '11'], 'effort': ['little'], 'ease': ['relative'], 'pizza': ['homemade'], 'lbs': ['20', 'day', '20', '20', 'day', '20', 'day', '20', 'day'], 'bushel': ['1/3'], 'use': ['compatible'], 'grain': ['much'], 'basis': ['daily'], 'pulley': ['large'], 'power': ['electric'], 'needs': ['own', 'heavier', 'grinding'], 'attachment': ['larger'], 'machine': ['sturdy'], 'bean': ['corn'], 'course': ['very']}"
3,"{'color': ['golden', 'exact', '3'], 'scam': ['total', 'total'], 'oak': ['same', 'other'], 'imitation': ['brown'], 'time': ['first', 'very', 'very'], 'schemes': ['3'], '#': ['same'], 'reviews': ['Many'], 'problem': ['main'], 'hinges': ['two'], 'piece': ['bottom', 'horizontal', 'bottom', 'miniscule', 'Great', 'nice', 'back'], 'odor': ['slight'], 'furniture': ['inexpensive', 'fine'], 'Matches': ['well'], 'shelves': ['two'], 'bit': ['Fair'], 'construction': ['Simple', 'solid'], 'minutes': ['30'], 'glance': ['first'], 'player': ['tv', 'small'], 'stand': ['new', 'sized', 'corner'], 'tv': ['also', '42', '40', 'old'], 'garbage': ['Absolute'], 'size': ['Perfect'], 'room': ['small', 'front'], 'unit': ['lovely', 'most'], 'shelf': ['bottom', 'above'], 'cupboards': ['two'], 'holes': ['extra'], 'walls': ['back'], 'doors': ['two'], 'devices': ['other', 'electronic'], 'cd': ['radio'], 'base': ['cordless'], 'paint': ['decorative', 'distressed'], 'style': ['more'], 'decor': ['coastal'], 'stores': ['middle'], 'investigation': ['much'], 'quality': ['higher'], 'product': ['Definitely'], 'wall': ['flat', 'straight', 'straight'], 'edges': ['back'], 'items': ['decorative'], 'screen': ['big']}"
4,"{'bugger': ['little'], 'Center': ['back'], 'HAND': ['other'], 'caddy': ['free'], 'money': ['little'], 'box': ['next'], 'subscription': ['free'], 'deal': ['better'], 'purchase': ['worst'], 'rangefinder': ['good'], 'people': ['most', 'many'], 'distance': ['basic'], 'fee': ['annual'], 'courses': ['many'], 'location': ['certain'], 'item': ['Overall', 'good', 'little'], 'year': ['a', 'just', 'one'], 'alternative': ['better'], 'GPS': ['big'], 'stars': ['5'], 'holes': ['27', '12', '18', '18'], 'finders': ['various'], 'midpoint': ['about'], 'reviews': ['negative', 'more'], 'devices': ['other'], 'yard': ['two'], 'computer': ['8.1'], 'drivers': ['7'], 'results': ['better'], 'years': ['2', 'now'], 'game': ['1'], 'day': ['second'], 'rounds': ['two', 'one', 'next'], 'luck': ['Good'], 'battery': ['new'], 'time': ['wet', 'one', 'one'], 'part': ['just'], 'support': ['technical']}"
5,"{'recipes': ['many'], 'lb': ['1'], 'pack': ['4'], 'pet': ['giant'], 'chia': ['many'], 'value': ['best'], 'bag': ['16', '4', '4', 'larger', 'sealed'], 'oz': ['12'], 'sticker': ['white'], 'mill': ['red'], 'quality': ['Great'], 'buy': ['super'], 'fruit': ['protein'], 'benefits': ['many'], 'dollars': ['10.00', '10'], 'answer': ['definite'], 'bureaucracy': ['other'], 'question': ['good'], 'MILLAddress13521': ['RED'], 'info': ['more']}"
6,"{'style': ['Just'], 'lines': ['clean', 'clean'], 'construction': ['solid'], 'thing': ['hardest'], 'lots': ['packed'], 'lights': ['included', 'great', 'much', 'excellent', 'much'], 'fluorescent': ['compact', 'compact'], 'fit': ['good'], 'shades': ['square'], 'inches': ['4', '45.5'], 'bulbs': ['taller', 'four', 'four', '4', '60watt', '4', 'such'], 'lamps': ['four', 'perfect'], 'glass': ['four'], 'globes': ['two', 'more', 'square'], 'weeks': ['sereral'], 'globe': ['one', 'good', 'one', 'cracked'], 'decor': ['modern'], 'size': ['large'], 'stars': ['4', '5'], 'tree': ['light'], 'description': ['brief'], 'time': ['one'], 'speech': ['apology'], 'price': ['discounted'], 'height': ['lowest'], 'watt': ['60'], 'room': ['large', 'small'], 'torchieres': ['300', '300'], 'job': ['good'], 'bass': ['Heavy', 'solid', 'stable'], 'W': ['52'], 'insects': ['smelling', 'fried', 'flying'], 'looking': ['nice'], 'brass': ['dark'], 'purchase': ['great'], 'reviews': ['glorious'], 'flaw': ['major'], 'ceilings': ['high'], 'product': ['average'], 'problem': ['only'], 'compliments': ['many'], 'fixtures': ['light'], 'switch': ['circular', 'on'], 'cord': ['standard'], 'foot': ['inline']}"
7,"{'pellet': ['m14'], 'bottles': ['first', 'co2'], 'bar': ['ammo'], 'one': ['else'], 'veteran': ['former'], 'months': ['18'], 'model': ['last'], 'scope': ['starlight'], 'size': ['full', 'modern', 'variant'], 'quality': ['Excellent', 'too'], 'value': ['here', 'too'], 'design': ['cool'], 'trigger': ['Decent'], 'people': ['small', 'Really'], 'DAISY': ['Nice'], 'rifle': ['Fine'], 'things': ['many', 'other', 'first', 'one'], 'reviews': ['bad'], 'type': ['plastic'], 'steel': ['blued'], 'wood': ['heavy'], 'bucks': ['80'], 'job': ['Good'], 'deal': ['Great'], 'product': ['deal'], 'day': ['other'], 'shots': ['60', 'accurate'], 'velocity': ['high'], 'cartridges': ['2'], 'wrench': ['tightening'], 'extras': ['2'], 'issue': ['known'], 'site': ['rear'], 'standard': ['original'], 'assembly': ['wooden'], 'weights': ['lead', 'exact', '2.8', '6'], 'pounds': ['4.44', '7.35'], 'light': ['enough'], 'gun': ['long'], 'plastic': ['real', 'light', 'real', 'light'], 'brass': ['little', 'little'], 'medal': ['brass', 'brass']}"
8,"{'blogs': ['various'], 'weeks': ['2', 'few'], 'times': ['several', 'first', 'one'], 'vehicles': ['current', '2'], 'batteries': ['flooded', 'acid', 'new', 'riding', 'old', 'hopeless', 'sulfated', '12', '6', '51R', 'few', '3', 'weak', 'few', 'four', '4'], 'acid': ['lead'], 'cycle': ['new', 'AH', 'marine', 'deep', '12'], 'volts': ['14.4', '13.5', '13.3', '2'], 'current': ['low'], 'desulfator': ['2', 'amp', 'maintainer', 'Excellent', 'affordable', 'charger', 'good'], 'range': ['midlife'], 'one': ['2nd'], 'product': ['good'], 'link': ['class=""a'], 'ref': ['href=""/NOCO', '12', 'Volt', 'Charger', 'B004LWVEKS'], 'href=""/NOCO': ['6'], 'job': ['great'], 'volt': ['12', '48', '12', '48', '12'], 'functionality': ['same'], 'consumption': ['less'], 'lawn': ['small'], 'model': ['older', '2/1/2017', 'same'], 'difference': ['big'], 'days': ['2', '4', '2'], 'battery': ['51R', 'charged', 'charged', 'dead', 'original', 'one', 'one'], 'hours': ['few', '12'], 'car': ['Restarted'], 'damage': ['possible'], 'alarm': ['2002', 'Minivan'], 'maintainer': ['Schumacher', 'charger', 'unreliable', '12V'], 'mystery': ['here'], 'foot': ['25'], 'cord': ['available', 'electric', 'more'], 'terminals': ['permanent', 'last', 'positive', 'last', 'negative'], 'longevity': ['mind'], 'biut': ['Works', 'great'], 'apps': ['most'], 'flat': ['12117'], 'unit': ['1st'], 'star': ['5'], 'salt': ['little'], 'cell': ['dead'], 'miles': ['few', 'annual', '12,500', '500'], 'years': ['1st', 'one', '8'], 'months': ['3', 'days'], 'reviewers': ['few', 'other'], 'seconds': ['few'], 'light': ['red'], 'charger': ['poor', '4'], 'leads': ['two'], 'connection': ['red', 'black'], 'charging': ['proper'], 'system': ['48V']}"
9,"{'box': ['cleaning', 'automatic', 'automatic', 'cheap'], 'idea': ['Brilliant'], 'tasks': ['such', 'unpleasant'], 'hobby': ['new'], 'modules': ['expensive', 'proprietary'], 'dish': ['large', 'round'], 'belt': ['conveyor', 'conveyor'], 'video': ['online'], 'litter': ['right', 'cheap', 'new', 'lighter'], 'dozen': ['more', 'than', 'a'], 'hours': ['dozen'], 'money': ['much'], 'spot': ['little'], 'arm': ['Rake'], 'invention': ['wonferful'], 'stars': ['4', '4', '0'], 'day': ['next', 'very'], 'inspection': ['further'], 'replacement': ['full'], 'service': ['prompt'], 'fan': ['big', 'big'], 'months': ['5', 'two', '5'], 'couple': ['a'], 'issues': ['couple'], 'products': ['following'], 'impact': ['fit', 'lower', 'environmental'], 'fit': ['perfectly'], 'blanket': ['favorite'], 'years': ['four'], 'cat': ['big'], 'doodoo': ['clumped'], 'room': ['little'], 'matter': ['fecal'], 'hums': ['Also'], 'weeks': ['3', '3'], 'week': ['3'], 'amount': ['small'], 'design': ['worst'], 'doody': ['little'], 'cracks': ['many'], 'power': ['all'], 'cats': ['little'], 'Works': ['great'], 'definition': ['funny'], 'year': ['one', '5'], 'warranty': ['called'], 'clumping': ['fast', 'fast'], 'type': ['other'], 'litters': ['Certain'], 'tub': ['big'], 'one': ['first'], 'motor': ['new']}"
